Abrechnungsnummer;Bezeichnung Abrechnungssparte;Spartennummer;Titel des Werkes;Werk-Nr.;Fassung;Bewertung;Beteiligtenrolle;Kontoart;Anteilart;Nutzungsanzahl;Ausschuettungsbetrag;Nutzer;Geschäftsjahr;Verteilungstermin
5001240013;U: Unterhaltungs- und Tanzmusik;U1;Nachtlicht;1234567;001;00;1;HK;NA;4;28,5000;Konzert Köln;2024;01.10.2024
5001240014;MOD S: Music-on-Demand (Streaming);12;Morgenrot;1234568;001;00;1;HK;NA;62400;123,7800;Spotify;2024;01.10.2024
5001240015;MOD S: Music-on-Demand (Streaming);12;Morgenrot;1234568;001;00;1;HK;NA;18900;42,5600;Apple Music;2024;01.10.2024
5001240016;MOD S: Music-on-Demand (Streaming);12;Morgenrot;1234568;001;00;1;HK;NA;11200;19,8800;Amazon Music;2024;01.10.2024
5001240017;MOD S: Music-on-Demand (Streaming);12;Morgenrot;1234568;001;00;1;HK;NA;5600;14,7800;Deezer;2024;01.10.2024
5001240018;MOD S: Music-on-Demand (Streaming);12;Morgenrot;1234568;001;00;1;HK;NA;2100;7,0300;Tidal;2024;01.10.2024
5001240019;GOP: Gemischte Online-Plattformen;GP;Morgenrot;1234568;001;00;1;HK;NA;52000;77,1200;YouTube;2024;01.10.2024
5001240020;GOP: Gemischte Online-Plattformen;GP;Morgenrot;1234568;001;00;1;HK;NA;31000;37,6200;TikTok;2024;01.10.2024
5001240021;R: Tonrundfunk;R1;Morgenrot;1234568;001;12;1;HK;NA;22;65,4000;WDR 1Live;2024;01.10.2024
5001240022;R: Tonrundfunk;R1;Morgenrot;1234568;001;12;1;HK;NA;15;42,0000;NDR 2;2024;01.10.2024
5001240023;R: Tonrundfunk;R1;Morgenrot;1234568;001;12;1;HK;NA;9;25,2000;hr3;2024;01.10.2024
5001240024;FS: Fernsehrundfunk;R5;Morgenrot;1234568;001;12;1;HK;NA;5;112,5000;ARD;2024;01.10.2024
5001240025;U: Unterhaltungs- und Tanzmusik;U1;Morgenrot;1234568;001;00;1;HK;NA;8;56,0000;Festival Berlin;2024;01.10.2024
5001240026;MED: Mediatheken;MD;Morgenrot;1234568;001;00;1;HK;NA;340;4,5600;ARD Mediathek;2024;01.10.2024
5001240027;MOD S: Music-on-Demand (Streaming);12;Freiheit;1234571;001;00;1;HK;NA;92000;182,4700;Spotify;2024;01.10.2024
5001240028;MOD S: Music-on-Demand (Streaming);12;Freiheit;1234571;001;00;1;HK;NA;28000;63,1400;Apple Music;2024;01.10.2024
5001240029;MOD S: Music-on-Demand (Streaming);12;Freiheit;1234571;001;00;1;HK;NA;15600;27,6800;Amazon Music;2024;01.10.2024
5001240030;MOD S: Music-on-Demand (Streaming);12;Freiheit;1234571;001;00;1;HK;NA;8200;21,6100;Deezer;2024;01.10.2024
5001240031;MOD S: Music-on-Demand (Streaming);12;Freiheit;1234571;001;00;1;HK;NA;4500;15,0800;Tidal;2024;01.10.2024
5001240032;GOP: Gemischte Online-Plattformen;GP;Freiheit;1234571;001;00;1;HK;NA;68000;100,8400;YouTube;2024;01.10.2024
5001240033;GOP: Gemischte Online-Plattformen;GP;Freiheit;1234571;001;00;1;HK;NA;42000;50,9400;TikTok;2024;01.10.2024
5001240034;GOP: Gemischte Online-Plattformen;GP;Freiheit;1234571;001;00;1;HK;NA;12000;15,2400;Instagram;2024;01.10.2024
5001240035;GOP: Gemischte Online-Plattformen;GP;Freiheit;1234571;001;00;1;HK;NA;8000;10,1600;Facebook;2024;01.10.2024
5001240036;R: Tonrundfunk;R1;Freiheit;1234571;001;12;1;HK;NA;35;98,0000;WDR 1Live;2024;01.10.2024
5001240037;R: Tonrundfunk;R1;Freiheit;1234571;001;12;1;HK;NA;28;78,4000;NDR 2;2024;01.10.2024
5001240038;R: Tonrundfunk;R1;Freiheit;1234571;001;12;1;HK;NA;20;56,0000;SWR3;2024;01.10.2024
5001240039;R: Tonrundfunk;R1;Freiheit;1234571;001;12;1;HK;NA;12;33,6000;Bayern 3;2024;01.10.2024
5001240040;R: Tonrundfunk;R1;Freiheit;1234571;001;12;1;HK;NA;8;22,4000;hr3;2024;01.10.2024
5001240041;FS: Fernsehrundfunk;R5;Freiheit;1234571;001;12;1;HK;NA;8;180,0000;ZDF;2024;01.10.2024
5001240042;FS: Fernsehrundfunk;R5;Freiheit;1234571;001;12;1;HK;NA;4;90,0000;ARD;2024;01.10.2024
5001240043;U: Unterhaltungs- und Tanzmusik;U1;Freiheit;1234571;001;00;1;HK;NA;15;105,0000;Tour 2024;2024;01.10.2024
5001240044;MED: Mediatheken;MD;Freiheit;1234571;001;00;1;HK;NA;1200;16,0800;ARD Mediathek;2024;01.10.2024
5001240045;MED: Mediatheken;MD;Freiheit;1234571;001;00;1;HK;NA;800;10,7200;ZDF Mediathek;2024;01.10.2024
5001240046;PHO VR: Tontraeger;20;Freiheit;1234571;001;00;1;HK;NA;2400;53,2800;CD Produktion;2024;01.10.2024
5001240047;MOD S: Music-on-Demand (Streaming);12;Sternenstaub;1234569;001;00;1;HK;NA;31200;61,8900;Spotify;2024;01.10.2024
5001240048;MOD S: Music-on-Demand (Streaming);12;Sternenstaub;1234569;001;00;1;HK;NA;9800;22,1000;Apple Music;2024;01.10.2024
5001240049;MOD S: Music-on-Demand (Streaming);12;Sternenstaub;1234569;001;00;1;HK;NA;5400;9,5800;Amazon Music;2024;01.10.2024
5001240050;GOP: Gemischte Online-Plattformen;GP;Sternenstaub;1234569;001;00;1;HK;NA;18000;26,7000;YouTube;2024;01.10.2024
5001240051;GOP: Gemischte Online-Plattformen;GP;Sternenstaub;1234569;001;00;1;HK;NA;9500;11,5200;TikTok;2024;01.10.2024
5001240052;R: Tonrundfunk;R1;Sternenstaub;1234569;001;12;1;HK;NA;6;16,8000;SWR3;2024;01.10.2024
5001240053;U: Unterhaltungs- und Tanzmusik;U1;Sternenstaub;1234569;001;00;1;HK;NA;3;21,0000;Konzert München;2024;01.10.2024
5001240054;MOD S: Music-on-Demand (Streaming);12;Winterreise;1234570;001;00;1;HK;NA;18500;36,6800;Spotify;2024;01.10.2024
5001240055;MOD S: Music-on-Demand (Streaming);12;Winterreise;1234570;001;00;1;HK;NA;5200;11,7300;Apple Music;2024;01.10.2024
5001240056;MOD S: Music-on-Demand (Streaming);12;Winterreise;1234570;001;00;1;HK;NA;2800;4,9700;Amazon Music;2024;01.10.2024
5001240057;GOP: Gemischte Online-Plattformen;GP;Winterreise;1234570;001;00;1;HK;NA;8400;12,4600;YouTube;2024;01.10.2024
5001240058;R: Tonrundfunk;R1;Winterreise;1234570;001;12;1;HK;NA;4;11,2000;Bayern 3;2024;01.10.2024
5001240059;PHO VR: Tontraeger;20;Winterreise;1234570;001;00;1;HK;NA;850;18,9000;CD Produktion;2024;01.10.2024
5001240060;MOD S: Music-on-Demand (Streaming);12;Zeitgeist;1234576;001;00;1;HK;NA;55000;109,0500;Spotify;2024;01.10.2024
5001240061;MOD S: Music-on-Demand (Streaming);12;Zeitgeist;1234576;001;00;1;HK;NA;16500;37,2100;Apple Music;2024;01.10.2024
5001240062;MOD S: Music-on-Demand (Streaming);12;Zeitgeist;1234576;001;00;1;HK;NA;9200;16,3300;Amazon Music;2024;01.10.2024
5001240063;GOP: Gemischte Online-Plattformen;GP;Zeitgeist;1234576;001;00;1;HK;NA;45000;66,7300;YouTube;2024;01.10.2024
5001240064;GOP: Gemischte Online-Plattformen;GP;Zeitgeist;1234576;001;00;1;HK;NA;28000;33,9500;TikTok;2024;01.10.2024
5001240065;GOP: Gemischte Online-Plattformen;GP;Zeitgeist;1234576;001;00;1;HK;NA;8000;10,1600;Instagram;2024;01.10.2024
5001240066;R: Tonrundfunk;R1;Zeitgeist;1234576;001;12;1;HK;NA;25;70,0000;WDR 1Live;2024;01.10.2024
5001240067;R: Tonrundfunk;R1;Zeitgeist;1234576;001;12;1;HK;NA;18;50,4000;SWR3;2024;01.10.2024
5001240068;R: Tonrundfunk;R1;Zeitgeist;1234576;001;12;1;HK;NA;10;28,0000;hr3;2024;01.10.2024
5001240069;FS: Fernsehrundfunk;R5;Zeitgeist;1234576;001;12;1;HK;NA;6;135,0000;ZDF;2024;01.10.2024
5001240070;U: Unterhaltungs- und Tanzmusik;U1;Zeitgeist;1234576;001;00;1;HK;NA;12;84,0000;Tour 2024;2024;01.10.2024
5001240071;MED: Mediatheken;MD;Zeitgeist;1234576;001;00;1;HK;NA;600;8,0400;ZDF Mediathek;2024;01.10.2024
5001240072;MOD S: Music-on-Demand (Streaming);12;Wellenbrecher;1234575;001;00;1;HK;NA;42000;83,2700;Spotify;2024;01.10.2024
5001240073;MOD S: Music-on-Demand (Streaming);12;Wellenbrecher;1234575;001;00;1;HK;NA;12800;28,8700;Apple Music;2024;01.10.2024
5001240074;MOD S: Music-on-Demand (Streaming);12;Wellenbrecher;1234575;001;00;1;HK;NA;7200;12,7800;Amazon Music;2024;01.10.2024
5001240075;MOD S: Music-on-Demand (Streaming);12;Wellenbrecher;1234575;001;00;1;HK;NA;3600;9,4900;Deezer;2024;01.10.2024
5001240076;GOP: Gemischte Online-Plattformen;GP;Wellenbrecher;1234575;001;00;1;HK;NA;32000;47,4400;YouTube;2024;01.10.2024
5001240077;GOP: Gemischte Online-Plattformen;GP;Wellenbrecher;1234575;001;00;1;HK;NA;18000;21,8300;TikTok;2024;01.10.2024
5001240078;R: Tonrundfunk;R1;Wellenbrecher;1234575;001;12;1;HK;NA;18;50,4000;WDR 1Live;2024;01.10.2024
5001240079;R: Tonrundfunk;R1;Wellenbrecher;1234575;001;12;1;HK;NA;12;33,6000;NDR 2;2024;01.10.2024
5001240080;FS: Fernsehrundfunk;R5;Wellenbrecher;1234575;001;12;1;HK;NA;3;67,5000;ARD;2024;01.10.2024
5001240081;U: Unterhaltungs- und Tanzmusik;U1;Wellenbrecher;1234575;001;00;1;HK;NA;10;70,0000;Tour 2024;2024;01.10.2024
5001240082;MOD S: Music-on-Demand (Streaming);12;Goldene Zeiten;1234572;001;00;1;HK;NA;24000;47,5900;Spotify;2024;01.10.2024
5001240083;MOD S: Music-on-Demand (Streaming);12;Goldene Zeiten;1234572;001;00;1;HK;NA;7200;16,2400;Apple Music;2024;01.10.2024
5001240084;MOD S: Music-on-Demand (Streaming);12;Goldene Zeiten;1234572;001;00;1;HK;NA;3800;6,7400;Amazon Music;2024;01.10.2024
5001240085;GOP: Gemischte Online-Plattformen;GP;Goldene Zeiten;1234572;001;00;1;HK;NA;14000;20,7600;YouTube;2024;01.10.2024
5001240086;R: Tonrundfunk;R1;Goldene Zeiten;1234572;001;12;1;HK;NA;10;28,0000;NDR 2;2024;01.10.2024
5001240087;U: Unterhaltungs- und Tanzmusik;U1;Goldene Zeiten;1234572;001;00;1;HK;NA;6;42,0000;Konzert Hamburg;2024;01.10.2024
5001240088;MOD S: Music-on-Demand (Streaming);12;Feuerwerk;1234573;001;00;1;HK;NA;15800;31,3300;Spotify;2024;01.10.2024
5001240089;MOD S: Music-on-Demand (Streaming);12;Feuerwerk;1234573;001;00;1;HK;NA;4600;10,3700;Apple Music;2024;01.10.2024
5001240090;GOP: Gemischte Online-Plattformen;GP;Feuerwerk;1234573;001;00;1;HK;NA;22000;32,6200;YouTube;2024;01.10.2024
5001240091;GOP: Gemischte Online-Plattformen;GP;Feuerwerk;1234573;001;00;1;HK;NA;35000;42,4500;TikTok;2024;01.10.2024
5001240092;R: Tonrundfunk;R1;Feuerwerk;1234573;001;12;1;HK;NA;3;8,4000;WDR 1Live;2024;01.10.2024
5001240093;MOD S: Music-on-Demand (Streaming);12;Treibsand;1234574;001;00;1;HK;NA;8900;17,6400;Spotify;2024;01.10.2024
5001240094;MOD S: Music-on-Demand (Streaming);12;Treibsand;1234574;001;00;1;HK;NA;2800;6,3100;Apple Music;2024;01.10.2024
5001240095;GOP: Gemischte Online-Plattformen;GP;Treibsand;1234574;001;00;1;HK;NA;6200;9,1900;YouTube;2024;01.10.2024
5001240096;R: Tonrundfunk;R1;Treibsand;1234574;001;12;1;HK;NA;2;5,6000;SWR3;2024;01.10.2024
